"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/31d7895f3ffb08a9-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","801","LighTOfHeaveN","21371100","4215","13327","5069","227134","6513","262113","true","false","Russian","LighTOfHeaveN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/pwnstarzdotcom-profile_image-f6a907af8c0c5d9b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","802","PWNSTARZdotCOM","9676830","14070","1524","687","226877","-7478","21860","true","false","English","PWNSTARZdotCOM"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ffc95366-994e-4e98-8e73-9cb4b9575867-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","803","jvtv","19164900","24255","4273","789","226852","4321","306055","true","false","French","jvtv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e875966d-eda6-4ea2-8c90-eb1f97bd1ab8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","804","Comikazie","7140","2820","10","2","226844","20","74","true","false","English","Comikazie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lapatos-profile_image-f8d57ef811b62ed0-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","805","Lapatos","150","60","4","2","226705","1","0","false","false","Turkish","Lapatos"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3c450123d61b3ea5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","806","MitaLiang","5556840","3630","5201","1530","226543","6740","193063","true","true","Chinese","MitaLiang"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d79a29b370bdab50-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","807","AnnieFuchsia","4833165","12135","855","397","226431","4776","31344","true","false","English","AnnieFuchsia"
"https://static-cdn.jtvnw.net/jtv_user_pictures/577afc2f-9b66-49e1-95db-34d1a2bc2f5a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","808","overtecknologie","225","180","3","0","226265","1","3","true","false","French","overtecknologie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2e023010-33d6-48c0-97b0-7558a08775db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","809","Immortoru","209925","585","1378","358","226127","986","6296","true","false","Turkish","Immortoru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/146e433d-f948-4304-9dfa-0505b898079f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","810","ESL_csgo_es","1881195","3120","2726","602","226083","1115","98209","true","false","Spanish","ESL_csgo_es"
"https://static-cdn.jtvnw.net/jtv_user_pictures/635f890c-82a5-4309-abbe-b6e622d60aac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","811","Zeling","700185","5340","384","130","225987","1693","20489","true","false","Spanish","Zeling"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6d8a01d4-323c-42b7-95fe-8df59cd94c0c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","812","Crowder","368085","8355","250","43","225773","1531","1574","true","false","English","Crowder"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e6989cce-14b5-4bd3-86d1-6a28a4e1f096-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","813","TheVicc","254850","1545","410","164","225435","1330","4031","true","false","French","TheVicc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ac77930-b2fc-4d37-8bda-051a439312a6-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","814","PrimeTimeFut","527100","645","1139","817","224717","4544","6519","true","false","French","PrimeTimeFut"
"https://static-cdn.jtvnw.net/jtv_user_pictures/taketv-profile_image-b7ac7958dadeb6a4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","815","TaKeTV","10392645","6675","4100","1556","224632","244","129202","true","false","German","TaKeTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bce876db-0749-4933-be0b-84d62a2a8338-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","816","ShahZaM","783555","2205","930","355","224447","5204","9531","true","false","English","ShahZaM"
"https://static-cdn.jtvnw.net/jtv_user_pictures/pink_screen-profile_image-727b3760759153ce-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","817","pink_screen","79215","11835","42","6","224087","135","2414","true","true","German","pink_screen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/69722f0a-538f-43ef-b005-f58173a9b636-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","818","Drainys","1140","135","25","8","223491","-4","52","true","false","Russian","Drainys"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e913027-c6b3-4d8a-b5f6-fdbe5a5a40f7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","819","xPandorya","1518825","795","2455","1909","223299","3040","23978","true","true","German","xPandorya"
"https://static-cdn.jtvnw.net/jtv_user_pictures/13c03e12-0cdb-4ddd-82f2-6f0e7022436a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","820","NokSs68","7230","300","74","24","223005","1","6","true","true","French","NokSs68"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f340d06b-63a1-4047-9d23-8c8ec9dafefd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","821","NerdCubed","257415","600","1222","428","222455","213","6992","true","true","English","NerdCubed"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e45267-c87d-47bd-b519-588757722afb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","822","Lumi","645","360","4","1","222355","-3","13","true","true","English","Lumi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3c72679b55a8a09c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","823","donatolive","1850400","14715","983","125","222220","4629","9882","true","false","Slovak","donatolive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dfieldmark-profile_image-c84bd55062c6b9d6-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","824","DfieldMark","5208975","4815","2416","1081","222163","5078","25341","true","true","English","DfieldMark"
"https://static-cdn.jtvnw.net/jtv_user_pictures/soyfelipez360-profile_image-75a6427850e34957-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","825","SoyFelipez360","2253675","2205","3502","1021","222147","4076","35980","true","false","Spanish","SoyFelipez360"
"https://static-cdn.jtvnw.net/jtv_user_pictures/18f090cb-256b-41a6-9ea7-878b98ada142-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","826","Vityshka","48277905","10590","16969","4558","221977","30276","580503","true","true","Russian","Vityshka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1bb5b3c3-d2b9-413a-b47f-dec757104b4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","827","malaso","0","15","0","0","221169","0","0","true","false","Spanish","malaso"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4f8d4825-c797-414f-b2fc-3461b3450046-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","828","CaMiLLs","318255","8520","526","36","220913","414","1343","true","true","English","CaMiLLs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/edc0397f-0bc5-4b5d-8d19-875837bf8bb0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","829","ZombiUnicorn","935025","4920","469","189","220649","1533","22393","true","true","English","ZombiUnicorn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c3729f7c-d27c-447b-aaa5-8161136b6572-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","830","Ruben","34200","2370","37","13","220500","112","1137","true","true","Hungarian","Ruben"
"https://static-cdn.jtvnw.net/jtv_user_pictures/600f32a2-9e17-4a5d-8718-68b8f81448d3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","831","NVIDIAGeForcePL","6412680","6540","4319","980","220431","5079","85890","true","false","Polish","NVIDIAGeForcePL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/purgegamers-profile_image-ed4c093db11c38c3-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","832","PurgeGamers","6482070","2985","5296","2171","220216","2457","50633","true","false","English","PurgeGamers"
